emp_basic_id,master_job_title_key,company_name,company_address,date_from,date_to,industry,salary,responsibilities
101,System Verification Engineer,Nokia,"UP Ayala Land Technohub, Quezon City",2016-11-01,,,,
102,Application Developer,Acestar,"Loakan Rd, Baguio City",2012-02-01,2017-11-01,Info Tech,24000,
102,WAP Supervisor,Texas Instrument,,,,Manufacturer,8000,
103,SOFTWARE ENGINEER,NETWORKS LABS,,2014-09-01,2015-02-01,,,
103,APP DEVELOPER,ACESTAR,,2015-06-01,,,,
104,System Analyst,Globe Telecom Inc,TGT 32nd Str corner 7th ave BGC,2016-11-01,2017-12-01,Telco,,
104,Software Engineer,SPI Global,Parañaque,2014-01-01,2016-11-01,BPO,,
105,Technical Support Engineer,Trend Micro Inc.,8th floor the Rockwell Business Center Pasig City,2017-07-01,2017-10-01,,22000,
106,Computer Technician,University of the Cordilleras,"Governors Pack Road, Baguio City",2016-02-01,2018-02-01,,,Career Advancement
106,MIS Staff,Tiongsan Harrison,"Harrison Road, Baguio City",2015-07-01,2016-02-01,,,Career Advancement
107,Administrative Assitant,Rowlyndon A. Julian's Bakeshop,"Labsan Street, Baguioo City",2017-01-01,2017-05-01,,,
107,Administrtative Assistant,E.Core Inc,"Norwegian Collections Loakan road, Baguio City",2015-06-01,2017-12-01,,,
108,Web Developer,ISHKASTER,"West Avenue, Quezon City",2016-08-01,2017-03-01,Web Development,32000,
108,Software Solutions,Backend Developer Solutions,"Quezon Hill, Baguio City",2017-03-01,2018-01-01,Web Development,25000,
110,Applications Developer and Suppport,Acestar Solutions and Trading Ltd.,Norwegian Collections Bldg. Loakan Road baguio City,,,Information Technology,,
111,PH Marketing nad Creative Head,Milkyway Distribution Ltd.,Hong Kong,2016-01-01,2017-10-01,E. Commerce,35000,Professional Growth
111,Academic Head,STI College Tuguegarao,Tuguegarao City Cagayan,2015-05-01,2016-04-01,Education,25000,better opportunities
111,Assistant Professor,Saint Louis University,"Baguio City, Benguet",2015-01-01,2015-05-01,Education,25000,better opportunities
111,Academic Assistant,STI College Baguio,"Baguio City, Benguet",2012-01-01,2014-12-01,Education,18000,better opportunities
111,Layout Artist/ Photographer,Visual Effects Production,"Baguio City, Benguet",2009-05-01,2010-03-01,Photography,6000,to resume studies
112,Technician,Pythos Technology Inc,"PEZA Bldg. Loakan Road, Baguio City",,,Manufacturing,,
112,Application Developer and Sepport,Acestar Solutions and Ttrading Ltd.,"Norwegian Collection bldg. Loakan Road, Baguio City",,,Information technology,,
114,Lab Assistant,Saint Louis University,"Bonifacio Street, Baguio City",2015-09-01,2016-12-01,Teaching,,End of Contract
114,Part-time Faculty,Saint Louis University,"Bonifacio Street, Baguio City",2017-01-01,2017-05-01,Teaching,,End of Contract
115,Application Developer/ Team Lead,Acestrar Solutions and Trading Inc,PEZA CMPP Loakan Road Baguio Ciy,2014-03-01,2017-11-01,Information Technology,,end of contract
115,Data Specialist,Outsorced Virtual Service and Support,Buyagan La trinidaD Benguet,2013-08-01,2013-11-01,BPO,,end of contract
115,Instructor,AMA Computer College,"Magsaysay Ave,. Baguio City","June 1, 201",2013-03-01,Education,,end of contract
116,Job Order,PRC-CAR,Rizal Monuument,2017-01-01,2017-12-01,,7656,Low Salary
116,Job Order,DPWH-CAR,Engineer's Hill,2016-08-01,2016-12-01,,11000,End of Contract
116,CSR,Sitel Baguio,Loakan Rd. Baguio City,2015-07-01,2016-01-01,,12000,pursue career
117,OJT,John Hay Management Corporation,Camp John Hay Baguio City,2015-02-01,2015-05-01,,,
120,Application Developer and Support,Acestar Solutions and Tradings Inc,"Loakan Road, Baguio City",,,,,
121,DTS,RAJ Technologies Inc,"Labsan Street, Baguio City",2014-10-01,2016-04-01,IT,,Development
121,Boot Camp Trainer,ITCERT Training Solutions,"Camp 7, Baguio City",2016-04-01,2016-10-01,,,Company Closed
122,IT Specialist ARHD MS Support,RAJ Technologies Inc,Labsan Street Baguio City,2014-01-01,2016-08-01,IT,10000,Benefits and Salary
122,IT Service Desk,Collabera Technologies PVT LTd.,#40th Floor Rufino Tower Makati,2016-08-01,2017-04-01,IT,18000,Location of Work
122,IT Help Desk/ CAS,Transcom World Wide (Philis),Wack Wack mandaluyong,2017-08-01,2017-09-01,IT,22000,Emergency
123,Software Engineer I,Teligent System Inc,Makati City,2015-01-01,2015-11-01,IT,,
